program,model,code,name_th,check,detail
DSBA,deepseek,06026236,หัวข้อพิเศษทางการวิเคราะห์เชิงสถิติ 2,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026237,ปฏิบัติการพิเศษทางการวิเคราะห์เชิงสถิติ 1,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026238,ปฏิบัติการพิเศษทางการวิเคราะห์เชิงสถิติ 2,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026239,สถาปัตยกรรมข้อมูลแบบไปป์ไลน์,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026240,การพัฒนาระบบอัจฉริยะ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026241,การดำเนินงานการเรียนรู้ของเครื่อง,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026242,โครงสร้างพื้นฐานด้านเทคโนโลยีกลุ่มเมฆ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026243,ระบบฐานข้อมูลขั้นสูง,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026244,การดูแลและบำรุงรักษาระบบฐานข้อมูล,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026245,ระบบฐานข้อมูลแบบกระจาย,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026246,หัวข้อพิเศษทางวิศวกรรมข้อมูล 1,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026247,หัวข้อพิเศษทางวิศวกรรมข้อมูล 2,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026248,ปฏิบัติการพิเศษทางวิศวกรรมข้อมูล 1,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026249,ปฏิบัติการพิเศษทางวิศวกรรมข้อมูล 2,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026250,วิทยาการข้อมูลสำหรับธุรกิจ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026251,บัญชีการเงิน,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026252,การวิเคราะห์ด้านการเงิน,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026253,การวิเคราะห์ด้านการตลาด,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026254,เทคโนโลยีสุขภาพสนเทศศาสตร์เบื้องต้น,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026255,การได้มาและการจัดการข้อมูลทางด้านคลินิก,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026256,การจัดการการปฏิบัติการ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026257,การบริหารเชิงกลยุทธ์และสมรรถะของธุรกิจ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026258,การวิเคราะห์เครือข่ายสังคม,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026259,สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,06026260,สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,INVALID_CREDIT_FORMAT,'None' ไม่ตรง pattern N(L-P-S)
DSBA,deepseek,6066100,การบริหารโครงการเทคโนโลยีสารสนเทศ,INVALID_CODE_FORMAT,'6066100' ไม่ใช่ 8 หลักตัวเลข
DSBA,deepseek,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=21 declared=30
DSBA,deepseek,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=78 declared=96
DSBA,gemini,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=21 declared=30
DSBA,gemini,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=219 declared=96
DSBA,qwen,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=21 declared=30
DSBA,qwen,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=219 declared=96
IT,deepseek,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=21 declared=30
IT,deepseek,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=282 declared=93
IT,gemini,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=21 declared=30
IT,gemini,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=282 declared=93
IT,qwen,—,credit_sum,GE_CREDIT_SUM_MISMATCH,extracted=21 declared=30
IT,qwen,—,credit_sum,SPECIFIC_CREDIT_SUM_MISMATCH,extracted=123 declared=93
