program,code,agreement,n_models,models_agreed,name_th,name_match,name_variants
AIT,06046440,ALL3,3,deepseek|gemini|qwen,วิชาสัมมนาปัญญาประดิษฐ์,yes,
AIT,06046441,ALL3,3,deepseek|gemini|qwen,โครงงานเทคโนโลยีปัญญาประดิษฐ์ 1,yes,
AIT,06046442,ALL3,3,deepseek|gemini|qwen,โครงงานเทคโนโลยีปัญญาประดิษฐ์ 2,yes,
AIT,06046443,ALL3,3,deepseek|gemini|qwen,สหกิจศึกษาทางเทคโนโลยีปัญญาประดิษฐ์,yes,
AIT,06046444,ALL3,3,deepseek|gemini|qwen,สหกิจศึกษาต่างประเทศทางเทคโนโลยีปัญญาประดิษฐ์,yes,
AIT,06066000,ALL3,3,deepseek|gemini|qwen,คณิตศาสตร์ไม่ต่อเนื่อง,yes,
AIT,06066001,ALL3,3,deepseek|gemini|qwen,ความน่าจะเป็นและสถิติ,yes,
AIT,06066300,ALL3,3,deepseek|gemini|qwen,แนวคิดระบบฐานข้อมูล,yes,
AIT,06066301,ALL3,3,deepseek|gemini|qwen,โครงสร้างข้อมูลและอัลกอริทึม,yes,
AIT,06066303,ALL3,3,deepseek|gemini|qwen,การแก้ปัญหาและการโปรแกรมคอมพิวเตอร์,yes,
AIT,90641004,ALL3,3,deepseek|gemini|qwen,โครงงานกลุ่ม 1,yes,
AIT,90641005,ALL3,3,deepseek|gemini|qwen,โครงงานกลุ่ม 2,yes,
AIT,90641006,ALL3,3,deepseek|gemini|qwen,โครงงานกลุ่ม 3,yes,
AIT,90641007,ALL3,3,deepseek|gemini|qwen,พลเมืองดิจิทัล,yes,
AIT,90641008,ALL3,3,deepseek|gemini|qwen,พื้นฐานทักษะการสื่อสารภาษาอังกฤษ,yes,
AIT,90641009,ALL3,3,deepseek|gemini|qwen,ทักษะการสื่อสารภาษาอังกฤษระหว่างวัฒนธรรม 1,yes,
AIT,90641010,ALL3,3,deepseek|gemini|qwen,ทักษะการสื่อสารภาษาอังกฤษระหว่างวัฒนธรรม 2,yes,
AIT,90642012,ALL3,3,deepseek|gemini|qwen,กระบวนการคิดเชิงออกแบบ,yes,
BIT,06036100,ALL3,3,deepseek|gemini|qwen,พื้นฐานทางด้านเทคโนโลยีสารสนเทศ,yes,
BIT,06036101,ALL3,3,deepseek|gemini|qwen,คณิตศาสตร์สำหรับธุรกิจ,yes,
BIT,06036102,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์เชิงสถิติสำหรับธุรกิจ,yes,
BIT,06036103,ALL3,3,deepseek|gemini|qwen,บูรณาการเทคนิคเชิงสถิติสำหรับธุรกิจ,yes,
BIT,06036104,ALL3,3,deepseek|gemini|qwen,องค์กรและการจัดการ,yes,
BIT,06036105,ALL3,3,deepseek|gemini|qwen,บัญชีการเงินสำหรับผู้มิใช่นักบัญชี,no,บัญชีการเงินสำหรับผู้มิใช่นักบัญชี / บัญชีการเงินสำหรับผู้ใช้นักบัญชี
BIT,06036106,ALL3,3,deepseek|gemini|qwen,การจัดการข้อมูลธุรกิจและเทคโนโลยีเกิดใหม่,yes,
BIT,06036107,ALL3,3,deepseek|gemini|qwen,การบริหารโครงการเทคโนโลยีสารสนเทศ,yes,
BIT,06036108,ALL3,3,deepseek|gemini|qwen,เศรษฐศาสตร์เทคโนโลยีสารสนเทศ,yes,
BIT,06036109,ALL3,3,deepseek|gemini|qwen,กระบวนการและโมเดลทางธุรกิจ,yes,
BIT,06036110,ALL3,3,deepseek|gemini|qwen,การวางแผนทรัพยากรองค์กร,yes,
BIT,06036111,ALL3,3,deepseek|gemini|qwen,เทคโนโลยีดิจิทัลสำหรับธุรกิจ,yes,
BIT,06036112,ALL3,3,deepseek|gemini|qwen,แนวคิดระบบฐานข้อมูล,yes,
BIT,06036113,ALL3,3,deepseek|gemini|qwen,การออกแบบส่วนต่อประสานกับมนุษย์,yes,
BIT,06036114,ALL3,3,deepseek|gemini|qwen,การพัฒนาเว็บแอปพลิเคชันโดยใช้เฟรมเวิร์ก,yes,
BIT,06036115,ALL3,3,deepseek|gemini|qwen,ความมั่นคงของระบบสารสนเทศ,yes,
BIT,06036116,ALL3,3,deepseek|gemini|qwen,การตลาดเชิงดิจิทัล,yes,
BIT,06036117,ALL3,3,deepseek|gemini|qwen,อัจฉริยะทางธุรกิจและข้อมูลขนาดใหญ่,yes,
BIT,06036118,ALL3,3,deepseek|gemini|qwen,การแก้ปัญหาทางด้านเทคโนโลยีสารสนเทศ,yes,
BIT,06036119,ALL3,3,deepseek|gemini|qwen,พื้นฐานการเขียนโปรแกรม,yes,
BIT,06036120,ALL3,3,deepseek|gemini|qwen,หลักการโครงสร้างข้อมูลและอัลกอริทึม,yes,
BIT,06036121,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์และออกแบบระบบสารสนเทศทางธุรกิจ,yes,
BIT,06036122,ALL3,3,deepseek|gemini|qwen,การสื่อสารด้วยภาพสำหรับธุรกิจ,yes,
BIT,06036123,ALL3,3,deepseek|gemini|qwen,เทคโนโลยีกลุ่มเมฆ,yes,
BIT,06036124,ALL3,3,deepseek|gemini|qwen,เครือข่ายคอมพิวเตอร์และความมั่นคงทางไซเบอร์เบื้องต้น,yes,
BIT,06036125,ALL3,3,deepseek|gemini|qwen,สถาปัตยกรรมคอมพิวเตอร์และระบบปฏิบัติการ,yes,
BIT,06036126,ALL3,3,deepseek|gemini|qwen,วิศวกรรมความต้องการ,yes,
BIT,06036127,ALL3,3,deepseek|gemini|qwen,ระบบฐานข้อมูลขั้นสูง,yes,
BIT,06036128,ALL3,3,deepseek|gemini|qwen,การเรียนรู้ของเครื่องจักร,yes,
BIT,06036129,ALL3,3,deepseek|gemini|qwen,การกำกับดูแลด้านเทคโนโลยีสารสนเทศ,yes,
BIT,06036130,ALL3,3,deepseek|gemini|qwen,เทคโนโลยีเชิงอ็อบเจกต์,yes,
BIT,06036131,ALL3,3,deepseek|gemini|qwen,การพัฒนาโปรแกรมประยุกต์บนอุปกรณ์เคลื่อนที่,yes,
BIT,06036132,ALL3,3,deepseek|gemini|qwen,หัวข้อพิเศษทางด้านเทคโนโลยีสารสนเทศทางธุรกิจ 1,yes,
BIT,06036133,ALL3,3,deepseek|gemini|qwen,หัวข้อพิเศษทางด้านเทคโนโลยีสารสนเทศทางธุรกิจ 2,yes,
BIT,06036134,ALL3,3,deepseek|gemini|qwen,ปฎิบัติการพิเศษทางด้านเทคโนโลยีสารสนเทศทางธุรกิจ 1,no,ปฎิบัติการพิเศษทางด้านเทคโนโลยีสารสนเทศทางธุรกิจ 1 / ปฏิบัติการพิเศษทางด้านเทคโนโลยีสารสนเทศทางธุรกิจ 1
BIT,06036135,ALL3,3,deepseek|gemini|qwen,ปฎิบัติการพิเศษทางด้านเทคโนโลยีสารสนเทศทางธุรกิจ 2,no,ปฎิบัติการพิเศษทางด้านเทคโนโลยีสารสนเทศทางธุรกิจ 2 / ปฏิบัติการพิเศษทางด้านเทคโนโลยีสารสนเทศทางธุรกิจ 2
BIT,06036136,ALL3,3,deepseek|gemini|qwen,กระบวนการอัตโนมัติด้วยโรบอตสำหรับธุรกิจ,yes,
BIT,06036137,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์ธุรกิจและการพัฒนาข้อกำหนด,yes,
BIT,06036138,ALL3,3,deepseek|gemini|qwen,การจัดการความรู้ระดับองค์กร,yes,
BIT,06036139,ALL3,3,deepseek|gemini|qwen,การบริหารระบบลูกค้าสัมพันธ์,yes,
BIT,06036140,ALL3,3,deepseek|gemini|qwen,การจัดการโซ่อุปทานและโลจิสติกส์,yes,
BIT,06036141,ALL3,3,deepseek|gemini|qwen,เครื่องมือและเทคนิคสำหรับการตลาดเชิงดิจิทัล,yes,
BIT,06036142,ALL3,3,deepseek|gemini|qwen,การตลาดเชิงดิจิทัลขั้นสูง,yes,
BIT,06036143,ALL3,3,deepseek|gemini|qwen,การเก็บความต้องการและสร้างต้นแบบในด้านยูเอ็กซ์ยูไอ,yes,
BIT,06036144,ALL3,3,deepseek|gemini|qwen,การประเมินส่วนต่อประสานผู้ใช้,yes,
BIT,06036145,ALL3,3,deepseek|gemini|qwen,โครงงานทางด้านเทคโนโลยีสารสนเทศเชิงธุรกิจ 1,yes,
BIT,06036146,ALL3,3,deepseek|gemini|qwen,โครงงานทางด้านเทคโนโลยีสารสนเทศเชิงธุรกิจ 2,yes,
BIT,06036147,ALL3,3,deepseek|gemini|qwen,สหกิจศึกษา,yes,
BIT,06036148,ALL3,3,deepseek|gemini|qwen,สหกิจศึกษาต่างประเทศ,yes,
BIT,96641001,ALL3,3,deepseek|gemini|qwen,โรงเรียนสร้างเสน่ห์,yes,
BIT,96641002,ALL3,3,deepseek|gemini|qwen,ความฉลาดทางดิจิทัล,yes,
BIT,96641003,ALL3,3,deepseek|gemini|qwen,กีฬาและนันทนาการ,yes,
BIT,96642033,ALL3,3,deepseek|gemini|qwen,กฎหมายสำหรับคนรุ่นใหม่,yes,
BIT,96643021,ALL3,3,deepseek|gemini|qwen,ผู้ประกอบการสมัยใหม่,yes,
BIT,96644007,ALL3,3,deepseek|gemini|qwen,ภาษาอังกฤษพื้นฐาน 1,yes,
BIT,96644008,ALL3,3,deepseek|gemini|qwen,ภาษาอังกฤษพื้นฐาน 2,yes,
BIT,96644042,ALL3,3,deepseek|gemini|qwen,การสื่อสารและการนำเสนออย่างมืออาชีพ,yes,
DSBA,06026200,ALL3,3,deepseek|gemini|qwen,แคลคูลัส 1,yes,
DSBA,06026201,ALL3,3,deepseek|gemini|qwen,แคลคูลัส 2,yes,
DSBA,06026202,ALL3,3,deepseek|gemini|qwen,พีชคณิตเชิงเส้น,yes,
DSBA,06026203,ALL3,3,deepseek|gemini|qwen,การโปรแกรมคอมพิวเตอร์,yes,
DSBA,06026204,ALL3,3,deepseek|gemini|qwen,เครือข่ายและความมั่นคงทางไซเบอร์เบื้องต้น,yes,
DSBA,06026205,ALL3,3,deepseek|gemini|qwen,การตลาดเบื้อง,no,การตลาดเบื้อง / การตลาดเบื้องต้น
DSBA,06026206,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์ข้อมูลและการโปรแกรม,yes,
DSBA,06026207,ALL3,3,deepseek|gemini|qwen,ระบบฐานข้อมูลแบบโนเอสคิวแอล,yes,
DSBA,06026208,ALL3,3,deepseek|gemini|qwen,พื้นฐานวิทยาการข้อมูล,yes,
DSBA,06026209,ALL3,3,deepseek|gemini|qwen,การแสดงข้อมูลด้วยแผนภาพ,yes,
DSBA,06026210,ALL3,3,deepseek|gemini|qwen,การหาค่าเหมาะที่สุด,no,การหาค่าเหมาะที่สุด / การหาค่าที่เหมาะที่สุด
DSBA,06026211,ALL3,3,deepseek|gemini|qwen,การเรียนรู้ของเครื่องเชิงประยุกต์,yes,
DSBA,06026212,ALL3,3,deepseek|gemini|qwen,การสร้างคลังข้อมูล,yes,
DSBA,06026213,ALL3,3,deepseek|gemini|qwen,ระบบข้อมูลมหัต,yes,
DSBA,06026214,ALL3,3,deepseek|gemini|qwen,โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 1,yes,
DSBA,06026215,ALL3,3,deepseek|gemini|qwen,โครงงานวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ 2,yes,
DSBA,06026216,ALL3,3,deepseek|gemini|qwen,ปัญญาประดิษฐ์,yes,
DSBA,06026217,ALL3,3,deepseek|gemini|qwen,การเรียนรู้ของเครื่อง,yes,
DSBA,06026218,ALL3,3,deepseek|gemini|qwen,การเรียนรู้เชิงลึก,yes,
DSBA,06026219,ALL3,3,deepseek|gemini|qwen,การประมวลผลภาษาธรรมชาติ,yes,
DSBA,06026220,ALL3,3,deepseek|gemini|qwen,การทำเหมืองข้อมูลกระบวนการ,yes,
DSBA,06026221,ALL3,3,deepseek|gemini|qwen,การค้นคืนสารสนเทศ,yes,
DSBA,06026222,ALL3,3,deepseek|gemini|qwen,คอมพิวเตอร์วิชัน,yes,
DSBA,06026223,ALL3,3,deepseek|gemini|qwen,การประมวลผลภาพ,yes,
DSBA,06026224,ALL3,3,deepseek|gemini|qwen,การแปลงข้อมูลและการรู้จำรูปภาพ,yes,
DSBA,06026225,ALL3,3,deepseek|gemini|qwen,การเรียนรู้เชิงลึกสำหรับการวิเคราะห์ภาพและวีดิโอทางการแพทย์,yes,
DSBA,06026226,ALL3,3,deepseek|gemini|qwen,หัวข้อพิเศษทางวิทยาการข้อมูล 1,yes,
DSBA,06026227,ALL3,3,deepseek|gemini|qwen,หัวข้อพิเศษทางวิทยาการข้อมูล 2,yes,
DSBA,06026228,ALL3,3,deepseek|gemini|qwen,ปฏิบัติการพิเศษทางวิทยาการข้อมูล 1,yes,
DSBA,06026229,ALL3,3,deepseek|gemini|qwen,ปฏิบัติการพิเศษทางวิทยาการข้อมูล 2,yes,
DSBA,06026230,ALL3,3,deepseek|gemini|qwen,อนุกรมเวลาและการพยากรณ์,no,อนุกรมเวลาและการพยากรณ์ / อนุกรมเวลาและการพยากรณ์เบื้องต้น
DSBA,06026231,ALL3,3,deepseek|gemini|qwen,สถิติเชิงเบย์,yes,
DSBA,06026232,ALL3,3,deepseek|gemini|qwen,กระบวนการสโตแคสติกเบื้องต้น,yes,
DSBA,06026233,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์ข้อมูลหลายตัวแปร,yes,
DSBA,06026234,ALL3,3,deepseek|gemini|qwen,การออกแบบการทดลอง,yes,
DSBA,06026235,ALL3,3,deepseek|gemini|qwen,หัวข้อพิเศษทางการวิเคราะห์เชิงสถิติ 1,yes,
DSBA,06026236,ALL3,3,deepseek|gemini|qwen,หัวข้อพิเศษทางการวิเคราะห์เชิงสถิติ 2,yes,
DSBA,06026237,ALL3,3,deepseek|gemini|qwen,ปฏิบัติการพิเศษทางการวิเคราะห์เชิงสถิติ 1,yes,
DSBA,06026238,ALL3,3,deepseek|gemini|qwen,ปฏิบัติการพิเศษทางการวิเคราะห์เชิงสถิติ 2,yes,
DSBA,06026239,ALL3,3,deepseek|gemini|qwen,สถาปัตยกรรมข้อมูลแบบไปป์ไลน์,yes,
DSBA,06026240,ALL3,3,deepseek|gemini|qwen,การพัฒนาระบบอัจฉริยะ,yes,
DSBA,06026241,ALL3,3,deepseek|gemini|qwen,การดำเนินงานการเรียนรู้ของเครื่อง,yes,
DSBA,06026242,ALL3,3,deepseek|gemini|qwen,โครงสร้างพื้นฐานด้านเทคโนโลยีกลุ่มเมฆ,yes,
DSBA,06026243,ALL3,3,deepseek|gemini|qwen,ระบบฐานข้อมูลขั้นสูง,yes,
DSBA,06026244,ALL3,3,deepseek|gemini|qwen,การดูแลและบำรุงรักษาระบบฐานข้อมูล,yes,
DSBA,06026245,ALL3,3,deepseek|gemini|qwen,ระบบฐานข้อมูลแบบกระจาย,yes,
DSBA,06026246,ALL3,3,deepseek|gemini|qwen,หัวข้อพิเศษทางวิศวกรรมข้อมูล 1,yes,
DSBA,06026247,ALL3,3,deepseek|gemini|qwen,หัวข้อพิเศษทางวิศวกรรมข้อมูล 2,yes,
DSBA,06026248,ALL3,3,deepseek|gemini|qwen,ปฏิบัติการพิเศษทางวิศวกรรมข้อมูล 1,yes,
DSBA,06026249,ALL3,3,deepseek|gemini|qwen,ปฏิบัติการพิเศษทางวิศวกรรมข้อมูล 2,yes,
DSBA,06026250,ALL3,3,deepseek|gemini|qwen,วิทยาการข้อมูลสำหรับธุรกิจ,yes,
DSBA,06026251,ALL3,3,deepseek|gemini|qwen,บัญชีการเงิน,yes,
DSBA,06026252,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์ด้านการเงิน,yes,
DSBA,06026253,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์ด้านการตลาด,yes,
DSBA,06026254,ALL3,3,deepseek|gemini|qwen,เทคโนโลยีสุขภาพสนเทศศาสตร์เบื้องต้น,yes,
DSBA,06026255,ALL3,3,deepseek|gemini|qwen,การได้มาและการจัดการข้อมูลทางด้านคลินิก,yes,
DSBA,06026256,ALL3,3,deepseek|gemini|qwen,การจัดการการปฏิบัติการ,yes,
DSBA,06026257,ALL3,3,deepseek|gemini|qwen,การบริหารเชิงกลยุทธ์และสมรรถะของธุรกิจ,yes,
DSBA,06026258,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์เครือข่ายสังคม,yes,
DSBA,06026259,ALL3,3,deepseek|gemini|qwen,สหกิจศึกษาทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,yes,
DSBA,06026260,ALL3,3,deepseek|gemini|qwen,สหกิจศึกษาต่างประเทศทางวิทยาการข้อมูลและการวิเคราะห์เชิงธุรกิจ,yes,
DSBA,06066000,ALL3,3,deepseek|gemini|qwen,คณิตศาสตร์ไม่ต่อเนื่อง,yes,
DSBA,06066001,ALL3,3,deepseek|gemini|qwen,ความน่าจะเป็นและสถิติ,yes,
DSBA,06066100,ALL3,3,deepseek|gemini|qwen,การบริหารโครงการเทคโนโลยีสารสนเทศ,yes,
DSBA,06066101,ALL3,3,deepseek|gemini|qwen,พื้นฐานทางธุรกิจสำหรับเทคโนโลยีสารสนเทศ,yes,
DSBA,06066102,ALL3,3,deepseek|gemini|qwen,ระบบสารสนเทศเพื่อการจัดการ,yes,
DSBA,06066300,ALL3,3,deepseek|gemini|qwen,แนวคิดระบบฐานข้อมูล,yes,
DSBA,06066301,ALL3,3,deepseek|gemini|qwen,โครงสร้างข้อมูลและอัลกอริทึม,yes,
DSBA,06066302,ALL3,3,deepseek|gemini|qwen,การเขียนโปรแกรมเว็บพื้นฐาน,yes,
DSBA,06066303,ALL3,3,deepseek|gemini|qwen,การแก้ปัญหาและการโปรแกรมคอมพิวเตอร์,yes,
DSBA,06066304,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์และออกแบบระบบสารสนเทศ,yes,
DSBA,6066100,ONE3,1,deepseek,การบริหารโครงการเทคโนโลยีสารสนเทศ,yes,
DSBA,90641001,ALL3,3,deepseek|gemini|qwen,โรงเรียนสร้างเสน่ห์,yes,
DSBA,90641002,ALL3,3,deepseek|gemini|qwen,ความฉลาดทางดิจิทัล,yes,
DSBA,90641003,ALL3,3,deepseek|gemini|qwen,กีฬาและนันทนาการ,yes,
DSBA,90642033,ALL3,3,deepseek|gemini|qwen,กฎหมายสำหรับคนรุ่นใหม่,yes,
DSBA,90643021,ALL3,3,deepseek|gemini|qwen,ผู้ประกอบการสมัยใหม่,yes,
DSBA,90644007,ALL3,3,deepseek|gemini|qwen,ภาษาอังกฤษพื้นฐาน 1,yes,
DSBA,90644008,ALL3,3,deepseek|gemini|qwen,ภาษาอังกฤษพื้นฐาน 2,yes,
DSBA,90644042,ALL3,3,deepseek|gemini|qwen,การสื่อสารและการนำเสนออย่างมืออาชีพ,yes,
IT,06016401,ALL3,3,deepseek|gemini|qwen,คณิตศาสตร์สำหรับเทคโนโลยีสารสนเทศ,yes,
IT,06016402,ALL3,3,deepseek|gemini|qwen,พื้นฐานทางด้านเทคโนโลยีสารสนเทศ,yes,
IT,06016403,ALL3,3,deepseek|gemini|qwen,เทคโนโลยีสื่อประสม,yes,
IT,06016404,ALL3,3,deepseek|gemini|qwen,เทคโนโลยีกลุ่มเมฆ,yes,
IT,06016405,ALL3,3,deepseek|gemini|qwen,พื้นฐานความมั่นคงปลอดภัยไซเบอร์,yes,
IT,06016406,ALL3,3,deepseek|gemini|qwen,โครงงาน 1,yes,
IT,06016407,ALL3,3,deepseek|gemini|qwen,โครงงาน 2,yes,
IT,06016408,ALL3,3,deepseek|gemini|qwen,การสร้างโปรแกรมเชิงวัตถุ,yes,
IT,06016409,ALL3,3,deepseek|gemini|qwen,การประมวลทางกายภาพ,yes,
IT,06016410,ALL3,3,deepseek|gemini|qwen,วิศวกรรมซอฟต์แวร์,yes,
IT,06016411,ALL3,3,deepseek|gemini|qwen,ระบบคอมพิวเตอร์เบื้องต้น,yes,
IT,06016412,ALL3,3,deepseek|gemini|qwen,โครงสร้างระบบคอมพิวเตอร์และระบบปฏิบัติการ,yes,
IT,06016413,ALL3,3,deepseek|gemini|qwen,ระบบเครือข่ายเบื้องต้น,yes,
IT,06016414,ALL3,3,deepseek|gemini|qwen,ระบบฐานข้อมูลแบบโนเอสคิวแอล,yes,
IT,06016415,ALL3,3,deepseek|gemini|qwen,การเขียนโปรแกรมเชิงฟังก์ชัน,yes,
IT,06016416,ALL3,3,deepseek|gemini|qwen,วิศวกรรมความต้องการ,yes,
IT,06016417,ALL3,3,deepseek|gemini|qwen,เครื่องมือและสภาพแวดล้อมสำหรับการพัฒนาซอฟต์แวร์,yes,
IT,06016418,ALL3,3,deepseek|gemini|qwen,การพัฒนาเว็บฝั่งเซิร์ฟเวอร์,yes,
IT,06016419,ALL3,3,deepseek|gemini|qwen,โครงสร้างพื้นฐานเครือข่ายการสื่อสาร,yes,
IT,06016420,ALL3,3,deepseek|gemini|qwen,ระบบโครงสร้างพื้นฐานและการบริการ,yes,
IT,06016421,ALL3,3,deepseek|gemini|qwen,ความมั่นคงปลอดภัยโครงสร้างพื้นฐานทางเทคโนโลยีสารสนเทศ,yes,
IT,06016422,ALL3,3,deepseek|gemini|qwen,อินเทอร์เน็ตของสรรพสิ่ง,yes,
IT,06016423,ALL3,3,deepseek|gemini|qwen,การออโตเมชั่นและโครงสร้างพื้นฐานที่สามารถโปรแกรมได้,yes,
IT,06016424,ALL3,3,deepseek|gemini|qwen,การออกแบบส่วนต่อประสานกับมนุษย์,yes,
IT,06016425,ALL3,3,deepseek|gemini|qwen,พื้นฐานการออกแบบทัศนศิลป์สำหรับสื่อปฏิสัมพันธ์,yes,
IT,06016426,ALL3,3,deepseek|gemini|qwen,คอมพิวเตอร์กราฟิกส์และแอนิเมชัน,yes,
IT,06016427,ALL3,3,deepseek|gemini|qwen,การออกแบบและพัฒนาเกมเบื้องต้น,yes,
IT,06016428,ALL3,3,deepseek|gemini|qwen,การพัฒนาและออกแบบโปรแกรมบริการแบบจุลภาค,yes,
IT,06016429,ALL3,3,deepseek|gemini|qwen,การพัฒนาเว็บฝั่งไคลเอนต์,yes,
IT,06016430,ALL3,3,deepseek|gemini|qwen,การพัฒนาคลาวด์แอปพลิเคชัน,yes,
IT,06016431,ALL3,3,deepseek|gemini|qwen,การโปรแกรมอุปกรณ์เคลื่อนที่,yes,
IT,06016432,ALL3,3,deepseek|gemini|qwen,การทวนสอบและตรวจสอบซอฟต์แวร์,yes,
IT,06016433,ALL3,3,deepseek|gemini|qwen,การทดสอบอัตโนมัติในรูปแบบอไจล์,yes,
IT,06016434,ALL3,3,deepseek|gemini|qwen,การทดสอบการยอมรับของเว็บ,yes,
IT,06016435,ALL3,3,deepseek|gemini|qwen,องค์ประกอบสำคัญของวิทยาการข้อมูล,yes,
IT,06016436,ALL3,3,deepseek|gemini|qwen,การแสดงข้อมูลด้วยแผนภาพ,yes,
IT,06016437,ALL3,3,deepseek|gemini|qwen,โครงสร้างพื้นฐานที่น่าเชื่อถือและขยายตัวได้,yes,
IT,06016438,ALL3,3,deepseek|gemini|qwen,ความปลอดภัยสำหรับระบบคลาวด์,yes,
IT,06016439,ALL3,3,deepseek|gemini|qwen,เทคโนโลยีเครือข่ายไร้สาย,yes,
IT,06016440,ALL3,3,deepseek|gemini|qwen,การออกแบบเครือข่ายสารสนเทศ,yes,
IT,06016441,ALL3,3,deepseek|gemini|qwen,ประสิทธิภาพเครือข่ายและระบบ,yes,
IT,06016442,ALL3,3,deepseek|gemini|qwen,การออกแบบฮาร์ดแวร์สำหรับอินเทอร์เน็ตแห่งสรรพสิ่ง,yes,
IT,06016443,ALL3,3,deepseek|gemini|qwen,การวิเคราะห์ข้อมูลและแอปพลิเคชันสำหรับอินเทอร์เน็ตแห่งสรรพสิ่ง,yes,
IT,06016444,ALL3,3,deepseek|gemini|qwen,การออกแบบเว็บ,yes,
IT,06016445,ALL3,3,deepseek|gemini|qwen,การเขียนสคริปต์ขั้นสูงสำหรับการออกแบบ,yes,
IT,06016446,ALL3,3,deepseek|gemini|qwen,การออกแบบเกม,yes,
